time,accX,accY,accZ,pitch,roll,yaw
35.236667,0.013931,0.007477,-0.988022,0.008504,-0.000695,-0.003039
35.340000,0.014084,0.006378,-0.996750,0.003517,0.005157,-0.000876
35.443333,0.011810,0.002563,-0.988052,-0.000003,-0.011549,-0.005675
35.546667,0.012772,0.003601,-0.985092,-0.003585,0.007456,-0.008993
35.650000,0.012894,0.004501,-0.989975,0.002467,-0.011554,-0.006818
35.753333,0.011795,0.003586,-0.986099,-0.001351,-0.006746,-0.001011
35.856667,0.015884,0.003571,-0.990845,-0.006259,-0.009123,0.000097
35.960000,0.015915,0.002533,-0.993759,0.003330,-0.000838,0.004693
36.063333,0.011932,0.004471,-0.991943,0.002297,-0.000901,-0.002255
36.166667,0.011871,0.002533,-0.990951,0.007363,-0.002145,-0.009180
36.270000,0.010941,0.004471,-0.990982,-0.006010,-0.008193,-0.011722
36.373333,0.013931,0.004486,-0.991882,-0.005105,-0.003326,-0.000103
36.476667,0.012955,0.006439,-0.990951,-0.005228,-0.004474,0.004513
36.580000,0.013901,0.004517,-0.989945,0.000876,-0.000953,0.003329
36.683333,0.016754,0.002625,-0.986939,-0.002778,-0.006909,0.003255
36.786667,0.010971,0.005463,-0.990982,0.002016,-0.002157,0.005581
36.890000,0.010056,0.003403,-0.997803,0.005856,0.002546,-0.001296
36.993333,0.009766,0.000595,-0.987106,0.005733,0.001398,0.003320
37.096667,0.013016,0.003448,-0.996750,0.009497,0.001326,-0.001338
37.200000,0.011917,0.003510,-0.991928,0.002279,-0.007046,-0.004924
37.303333,0.009872,0.004486,-0.988113,0.008056,0.006158,0.006796
37.406667,0.010941,0.002487,-0.992905,-0.000093,0.002411,-0.008372
37.510000,0.012878,0.003540,-0.989960,-0.000120,-0.002339,-0.007258
