time,accX,accY,accZ,pitch,roll,yaw
15.000000,0.581281,6.891940,2832.364879,0.042291,0.108203,66530.071770
15.050000,0.587446,6.892022,2842.168615,0.042435,0.108802,66530.077630
15.100000,0.593377,6.892112,2851.972170,0.042583,0.109396,66530.083810
15.150000,0.599066,6.892206,2861.775786,0.042731,0.109986,66530.090245
15.200000,0.604502,6.892306,2871.579549,0.042878,0.110569,66530.096857
15.250000,0.609691,6.892409,2881.383682,0.043026,0.111142,66530.103546
15.300000,0.614624,6.892515,2891.188051,0.043177,0.111706,66530.110263
15.350000,0.619327,6.892624,2900.992797,0.043335,0.112265,66530.116904
15.400000,0.623749,6.892735,2910.798128,0.043495,0.112819,66530.123489
15.450000,0.627907,6.892848,2920.604135,0.043660,0.113369,66530.129956
15.500000,0.631767,6.892962,2930.411005,0.043824,0.113918,66530.136337
15.550000,0.635336,6.893078,2940.218829,0.043987,0.114461,66530.142618
15.600000,0.638602,6.893196,2950.027874,0.044148,0.115000,66530.148731
15.650000,0.641544,6.893317,2959.838021,0.044307,0.115535,66530.154633
15.700000,0.644177,6.893437,2969.649272,0.044464,0.116067,66530.160310
15.750000,0.646514,6.893555,2979.461753,0.044619,0.116603,66530.165749
15.800000,0.648582,6.893670,2989.275510,0.044769,0.117145,66530.170964
15.850000,0.650367,6.893784,2999.090625,0.044914,0.117691,66530.176030
15.900000,0.651934,6.893894,3008.906983,0.045053,0.118240,66530.180938
15.950000,0.653309,6.894003,3018.724709,0.045185,0.118792,66530.185674
16.000000,0.654521,6.894111,3028.543971,0.045311,0.119347,66530.190218
16.050000,0.655595,6.894216,3038.364797,0.045434,0.119904,66530.194575
16.100000,0.656530,6.894320,3048.187433,0.045551,0.120467,66530.198770
16.150000,0.657348,6.894420,3058.011989,0.045664,0.121034,66530.202793
16.200000,0.658109,6.894517,3067.838589,0.045770,0.121611,66530.206622
16.250000,0.658884,6.894611,3077.667089,0.045869,0.122198,66530.210177
16.300000,0.659685,6.894703,3087.497423,0.045952,0.122799,66530.213461
16.350000,0.660515,6.894793,3097.330045,0.046018,0.123410,66530.216493
16.400000,0.661403,6.894882,3107.164609,0.046072,0.124033,66530.219163
16.450000,0.662289,6.894964,3117.000744,0.046116,0.124658,66530.221435
16.500000,0.663207,6.895039,3126.838308,0.046153,0.125285,66530.223274
16.550000,0.664164,6.895106,3136.677226,0.046183,0.125909,66530.224669
16.600000,0.665168,6.895161,3146.517336,0.046208,0.126529,66530.225644
16.650000,0.666217,6.895209,3156.358723,0.046229,0.127137,66530.226343
16.700000,0.667312,6.895257,3166.201086,0.046251,0.127739,66530.226828
16.750000,0.668455,6.895306,3176.044567,0.046271,0.128321,66530.227160
16.800000,0.669644,6.895356,3185.888806,0.046291,0.128866,66530.227399
16.850000,0.670881,6.895408,3195.733839,0.046308,0.129354,66530.227572
16.900000,0.672161,6.895463,3205.579590,0.046320,0.129813,66530.227718
16.950000,0.673492,6.895522,3215.426216,0.046330,0.130221,66530.227832
17.000000,0.674873,6.895584,3225.273694,0.046337,0.130597,66530.227928
17.050000,0.676307,6.895651,3235.121982,0.046343,0.130967,66530.228002
17.100000,0.677794,6.895721,3244.971054,0.046350,0.131309,66530.228058
17.150000,0.679336,6.895794,3254.820528,0.046356,0.131626,66530.228109
17.200000,0.680936,6.895871,3264.670542,0.046362,0.131902,66530.228161
17.250000,0.682592,6.895953,3274.521340,0.046368,0.132141,66530.228214
17.300000,0.684303,6.896039,3284.372858,0.046374,0.132312,66530.228268
17.350000,0.686066,6.896131,3294.225155,0.046380,0.132433,66530.228322
17.400000,0.687880,6.896227,3304.078156,0.046385,0.132532,66530.228370
17.450000,0.689733,6.896328,3313.931903,0.046390,0.132622,66530.228413
17.500000,0.691614,6.896435,3323.786294,0.046394,0.132707,66530.228455
17.550000,0.693517,6.896548,3333.640964,0.046397,0.132788,66530.228496
17.600000,0.695433,6.896666,3343.495829,0.046399,0.132865,66530.228537
17.650000,0.697359,6.896789,3353.350691,0.046402,0.132936,66530.228575
17.700000,0.699288,6.896920,3363.205628,0.046407,0.133002,66530.228612
17.750000,0.701190,6.897061,3373.060974,0.046415,0.133062,66530.228649
17.800000,0.703024,6.897213,3382.917024,0.046427,0.133115,66530.228689
17.850000,0.704787,6.897370,3392.775534,0.046451,0.133159,66530.228741
17.900000,0.706477,6.897532,3402.639105,0.046487,0.133197,66530.228820
17.950000,0.708128,6.897698,3412.514894,0.046566,0.133229,66530.228991
18.000000,0.709788,6.897866,3422.407133,0.046676,0.133281,66530.229243
18.050000,0.711465,6.898030,3432.321006,0.046854,0.133358,66530.229563
18.100000,0.713171,6.898189,3442.261188,0.047097,0.133449,66530.229903
18.150000,0.714906,6.898342,3452.231602,0.047351,0.133585,66530.230243
18.200000,0.716652,6.898491,3462.234516,0.047609,0.133831,66530.230620
18.250000,0.718414,6.898634,3472.272538,0.047896,0.134372,66530.231013
18.300000,0.720222,6.898772,3482.346113,0.048283,0.135448,66530.231417
18.350000,0.722130,6.898907,3492.455318,0.048865,0.137641,66530.231962
18.400000,0.724221,6.899044,3502.597580,0.049832,0.141799,66530.232917
18.450000,0.726583,6.899179,3512.769052,0.051446,0.148658,66530.234480
18.500000,0.729261,6.899310,3522.962985,0.054277,0.158972,66530.236648
18.550000,0.732356,6.899436,3533.173551,0.058735,0.172748,66530.239392
18.600000,0.735938,6.899562,3543.394360,0.065281,0.189608,66530.242608
18.650000,0.740111,6.899702,3553.621760,0.073869,0.209079,66530.246377
18.700000,0.744972,6.899880,3563.851697,0.084993,0.230367,66530.250548
18.750000,0.750603,6.900134,3574.081885,0.098795,0.253534,66530.255215
18.800000,0.757078,6.900518,3584.309705,0.115831,0.278213,66530.260312
